Time;LD-S;LD-W;PV-S;PV-W;EV;EV-ID_Slot1;EV-ID_Slot2;EV-ID_Slot3
00:00:00;0.386;0.2996;0;0;2.5;0;-1;-1
00:15:00;0.3452;0.2704;0;0;2;0;1;-1
00:30:00;0.3076;0.2432;0;0;1.5;0;1;3
00:45:00;0.2752;0.2196;0;0;1;0;1;3
01:00:00;0.2496;0.1996;0;0;0.5;-1;1;3
01:15:00;0.232;0.1848;0;0;0;-1;-1;3
01:30:00;0.2212;0.1744;0;0;0;5;-1;-1
01:45:00;0.2144;0.1676;0;0;0;5;6;-1
02:00:00;0.2096;0.1632;0;0;0;5;6;7
02:15:00;0.2052;0.1604;0;0;0;5;6;7
02:30:00;0.2012;0.1584;0;0;0;-1;6;7
02:45:00;0.1968;0.1576;0;0;0;-1;6;7
03:00:00;0.1932;0.1564;0;0;0;-1;-1;7
03:15:00;0.19;0.1552;0;0;0;-1;-1;-1
03:30:00;0.1876;0.1544;0;0;0;-1;-1;-1
03:45:00;0.186;0.1532;0;0;0;-1;-1;-1
04:00:00;0.1864;0.1532;0;0;0;-1;-1;-1
04:15:00;0.1884;0.1536;0;0;0;-1;-1;-1
04:30:00;0.192;0.1552;0;0;0;-1;-1;-1
04:45:00;0.1972;0.1572;0;0;0;-1;-1;-1
05:00:00;0.2032;0.16;-0.0408;0;0;-1;-1;-1
05:15:00;0.2108;0.1636;-0.0816;0;0;-1;-1;-1
05:30:00;0.2224;0.1724;-0.1224;0;0;-1;-1;-1
05:45:00;0.242;0.1908;-0.1632;0;0;-1;-1;-1
06:00:00;0.2728;0.2232;-0.204;0;0;-1;-1;-1
06:15:00;0.3168;0.272;-0.3775;0;0;-1;-1;-1
06:30:00;0.368;0.3312;-0.551;0;0;-1;-1;-1
06:45:00;0.4188;0.392;-0.7245;0;0;-1;-1;-1
07:00:00;0.4628;0.446;-0.898;-0.04;0;-1;-1;-1
07:15:00;0.494;0.4864;-1.1327;-0.06;0;-1;-1;-1
07:30:00;0.5144;0.514;-1.3674;-0.08;0;-1;-1;-1
07:45:00;0.528;0.5308;-1.6021;-0.1;0;-1;-1;-1
08:00:00;0.5392;0.5392;-1.8368;-0.12;3;0;-1;-1
08:15:00;0.5512;0.5416;-2.1123;-0.2;3;0;1;-1
08:30:00;0.5628;0.5392;-2.3878;-0.28;3;0;1;3
08:45:00;0.5728;0.5324;-2.6633;-0.36;3;0;1;3
09:00:00;0.5792;0.5228;-2.9388;-0.44;3;-1;1;3
09:15:00;0.5812;0.5108;-3.1735;-0.63;3;-1;-1;3
09:30:00;0.5796;0.4984;-3.4082;-0.82;3;5;-1;-1
09:45:00;0.5752;0.486;-3.6429;-1.01;3;5;6;-1
10:00:00;0.5692;0.476;-3.8776;-1.2;3;5;6;7
